"name","xPos","yPos"
"Aa en Hunze",245044.474553749,555796.296
"Aalsmeer",112128.17002448,474963.761
"Aalten",236849.348054264,436785.015500002
"Achtkarspelen",206045.271520582,580373.975000001
"Alblasserdam",105345.287803943,430408.3325
"Albrandswaard",89376.4708027393,429749.842
"Alkmaar",116401.997022228,512764.8105
"Almelo",241549.438645808,484803.159499999
"Almere",143741.838621228,486829.979499999
"Alphen-Chaam",119210.288694238,391013.805
"Alphen aan den Rijn",103897.969395865,458582.446500001
"Altena",124361.434810188,420149.7565
"Ameland",178376.168424999,606872.33725
"Amersfoort",156484.17113455,463958.047500001
"Amstelveen",118527.81639843,477717.939499998
"Amsterdam",119304.461817917,487572.563449999
"Apeldoorn",192193.728212601,465868.234999999
"Arnhem",188589.624811436,446507.58
"Assen",233064.642244239,557347.755999999
"Asten",183150.108695375,377584.968
"Baarle-Nassau",119258.144442204,383248.164999999
"Baarn",146150.952689582,467886.144499999
"Barendrecht",95804.7096423895,429597.046999998
"Barneveld",172693.029558871,464847.263499999
"Beek (L.)",184757.686541531,326417.7415
"Beekdaelen",190249.9733739,327325.504500002
"Beesel",202892.38767056,364774.49615
"Berg en Dal",191551.378639455,424912.514
"Bergeijk",154035.160530427,370380.986500001
"Bergen (L.)",202908.981066556,400315.237500001
"Bergen (NH.)",107707.226189346,520018.375849999
"Bergen op Zoom",78465.2835968152,391284.609999999
"Berkelland",239343.246314544,457646.968499999
"Bernheze",164264.285169068,410530.6665
"Best",155635.45441128,391883.6305
"Beuningen",179820.738727744,430661.8895
"Beverwijk",106522.526569841,499228.7105
"Bladel",144377.521645179,375798.989499999
"Blaricum",145494.287661341,476887.616
"Bloemendaal",100808.551131913,487631.063999999
"Bodegraven-Reeuwijk",111828.631491064,453450.272999998
"Boekel",176610.134742437,401925.981000001
"Borger-Odoorn",255517.843335288,546864.341
"Borne",247671.349934873,481320.3145
"Borsele",45850.2834890895,384076.96535
"Boxtel",150052.113406738,400018.109999999
"Breda",112949.925551248,397475.7665
"Bronckhorst",215683.148041685,452058.6985
"Brummen",205657.25314243,458321.272500001
"Brunssum",196308.764489086,328398.753500002
"Bunnik",143541.485614675,450106.5
"Bunschoten",152895.735841674,472411.635
"Buren",157255.387881634,437913.7015
"Capelle aan den IJssel",100135.600846533,438897.044
"Castricum",107633.143042728,508218.0755
"Coevorden",245151.430035583,530317.264999999
"Cranendonck",168514.628826384,366493.485000001
"Culemborg",142755.723686583,440103.1295
"Dalfsen",213984.646552466,503097.776000001
"Dantumadiel",193777.601380978,587968.7245
"De Bilt",140385.052829834,461836.800000001
"De Fryske Marren",181481.541473772,549427.41
"De Ronde Venen",123070.207661971,471697.783499999
"De Wolden",218552.98963785,524688.580499999
"Delft",84659.7374839723,446147.882750001
"Den Helder",112585.913688075,548539.492099999
"Deurne",185648.820240947,382246.874499999
"Deventer",213091.686878497,475989.409
"Diemen",127537.334841916,483087.236499999
"Dijk en Waard",116341.128096965,521782.388
"Dinkelland",259031.046349973,488171.669
"Doesburg",207459.498816108,448104.523499999
"Doetinchem",216417.022295429,441550.913500002
"Dongen",125276.431083478,406093.873500001
"Dordrecht",106690.653006224,420431.2645
"Drechterland",140432.916431967,519600.952
"Drimmelen",110540.976726423,412272.385200001
"Dronten",177755.974530078,500559.339050001
"Druten",170487.370743668,431177.1405
"Duiven",198717.39568947,440040.058499999
"Echt-Susteren",190840.263807838,343743.135849999
"Edam-Volendam",129657.754436388,506831.487849999
"Ede",179508.534516151,453753.375500001
"Eemnes",147513.412795044,473624.117000001
"Eemsdelta",246634.350022806,594736.136299999
"Eersel",151808.778515868,378243.092
"Eijsden-Margraten",181870.994965703,312850.07
"Eindhoven",159374.351130947,384391.172499999
"Elburg",186027.995720173,491931.4125
"Emmen",260677.259277551,530789.487500001
"Enkhuizen",147263.488655932,525350.094700001
"Enschede",256484.358000243,471665.319999998
"Epe",194272.35738659,482262.937999999
"Ermelo",173717.136607662,477364.676000001
"Etten-Leur",103421.900501069,398808.307
"Geertruidenberg",119793.178576486,412029.327
"Geldrop-Mierlo",169232.213281134,382541.7195
"Gemert-Bakel",180541.900835655,394725.3375
"Gennep",196988.088154487,412049.251
"Gilze en Rijen",122139.767178023,397245.160499999
"Goeree-Overflakkee",67825.2167333894,418666.08275
"Goes",48605.7803396841,392811.221999999
"Goirle",130469.316233555,390796.9855
"Gooise Meren",138627.258584516,479034.796499999
"Gorinchem",126959.684258427,428151.414000001
"Gouda",108586.019786146,447990.085000001
"'s-Gravenhage",79212.9402007986,454268.954149999
"Groningen",234232.5825771,581124.324000001
"Gulpen-Wittem",190474.052880058,312321.424000001
"Haaksbergen",250340.306603152,464625.399
"Haarlem",104362.445438865,488688.543
"Haarlemmermeer",109187.674101145,482018.291999999
"Halderberge",94454.3662165257,400435.8025
"Hardenberg",239539.091175952,509835.748000002
"Harderwijk",173235.15797613,483621.1885
"Hardinxveld-Giessendam",116233.772813854,427910.902000001
"Harlingen",158955.613368036,576657.4858
"Hattem",200859.634338097,498975.398499999
"Heemskerk",104468.827234129,502607.420000002
"Heemstede",102582.80994037,484140.7785
"Heerde",199551.935658342,491079.286
"Heerenveen",190989.637456836,556959.929500001
"Heerlen",196834.726767258,321015.52
"Heeze-Leende",168328.924769589,374439.137
"Heiloo",108783.797039214,512909.780999999
"Hellendoorn",227469.561742187,489616.4925
"Helmond",174429.827336175,387212.057499999
"Hendrik-Ido-Ambacht",103108.801052426,428937.759
"Hengelo (O.)",251100.448709122,474732.718
"'s-Hertogenbosch",152872.0209698,413962.739499999
"Het Hogeland",224909.026461731,597594.4695
"Heumen",185252.459018532,421468.762500001
"Heusden",139670.653143229,411158.59
"Hillegom",99453.7578113494,478849.6505
"Hilvarenbeek",138319.961034344,388701.479
"Hilversum",140397.251517042,471530.355
"Hoeksche Waard",89448.6050100923,420403.182499999
"Hof van Twente",235503.241377418,472739.585999999
"Hollands Kroon",124517.077600008,540753.933999998
"Hoogeveen",229661.361838403,527217.160500001
"Hoorn",133862.807571284,518912.238
"Horst aan de Maas",199737.864387557,384875.022
"Houten",140611.198484902,446656.7215
"Huizen",144328.142814779,478252.083999999
"Hulst",64158.6418683124,371627.081
"IJsselstein",130394.978133844,448706.2125
"Kaag en Braassem",102653.856206675,467474.318
"Kampen",191877.910115331,506971.149500001
"Kapelle",56226.3095010977,389732.27
"Katwijk",88720.6765631234,467065.146200001
"Kerkrade",202324.07745705,320721.932500001
"Koggenland",125597.201188833,517874.159
"Krimpen aan den IJssel",101403.791920332,436758.97945
"Krimpenerwaard",111720.374446048,441028.217999998
"Laarbeek",170646.36372556,393730.645
"Land van Cuijk",187086.815557594,408378.17585
"Landgraaf",199951.557025909,323822.433499999
"Landsmeer",123342.887810894,496015.3155
"Lansingerland",94599.8129031144,447303.223999999
"Laren (NH.)",143326.30769719,472730.404999999
"Leeuwarden",183402.29584698,576016.157500001
"Leiden",92996.0151405968,463003.2103
"Leiderdorp",97259.3848150394,463537.8895
"Leidschendam-Voorburg",89557.9671338967,456492.228
"Lelystad",163966.659884015,505653.431400001
"Leudal",190496.252925066,360602.088499999
"Leusden",157170.738098202,459692.770500001
"Lingewaard",193334.327128222,435585.873499999
"Lisse",97279.5072099173,474368.275999999
"Lochem",220441.333685916,465308.3235
"Loon op Zand",131567.476282465,405866.169500001
"Lopik",124418.689473061,443811.093500001
"Losser",264202.35192939,480338.509499999
"Maasdriel",150143.025972501,421859.964500001
"Maasgouw",190471.159238402,352148.140000001
"Maashorst",173688.893177757,411896.2555
"Maassluis",76330.7279883384,438201.338
"Maastricht",176787.59413228,318716.6525
"Medemblik",137617.375402813,525844.772500001
"Meerssen",179479.311649437,323946.9648
"Meierijstad",163963.017668708,399959.102
"Meppel",208456.73553489,526255.472000001
"Middelburg (Z.)",33881.987559586,391766.020000001
"Midden-Delfland",81851.4669034052,443014.781500001
"Midden-Drenthe",234747.229168932,543217.035
"Midden-Groningen",248004.461907475,578545.9275
"Moerdijk",95912.2460377171,408548.55205
"Molenlanden",116977.893895912,433773.193
"Montferland",211262.230653948,437594.336999999
"Montfoort",125074.945704793,450837.972999999
"Mook en Middelaar",190880.764722772,417844.483999999
"Neder-Betuwe",170735.18787306,437020.721999999
"Nederweert",180201.596604483,367059.112
"Nieuwegein",134799.945903278,449103.334999999
"Nieuwkoop",113456.571636639,464577.647499999
"Nijkerk",161295.293992033,469554.0985
"Nijmegen",186162.811511342,428318.6075
"Nissewaard",80562.4144517555,427349.511
"Noardeast-Fryslân",192340.713142439,593880.09795
"Noord-Beveland",44683.4643293557,398582.936100001
"Noordenveld",224279.6988099,568047.754000001
"Noordoostpolder",180585.119291732,526655.324000001
"Noordwijk",93601.2835500085,475924.515899999
"Nuenen, Gerwen en Nederwetten",165894.391989751,388561.388
"Nunspeet",182855.7991041,483312.6865
"Oegstgeest",92419.7580357084,466544.823999999
"Oirschot",148972.799199367,388883.914999999
"Oisterwijk",141920.963167742,397490.572000001
"Oldambt",267257.899385596,579201.236
"Oldebroek",193367.559128871,496683.073999999
"Oldenzaal",258742.975059253,481085.026999999
"Olst-Wijhe",206733.168847626,487784.6975
"Ommen",227418.419808222,502961.5085
"Oost Gelre",235585.856630587,448162.899499999
"Oosterhout",118749.48570309,404954.242999999
"Ooststellingwerf",216649.188061685,556402.801000001
"Oostzaan",119747.610004555,496167.8255
"Opmeer",124820.779407492,525211.213
"Opsterland",202424.220480527,562459.351500001
"Oss",165020.31,421071
"Oude IJsselstreek",224112.759154254,435436.068499999
"Ouder-Amstel",122879.460449712,478626.7336
"Oudewater",118501.24654174,448638.1315
"Overbetuwe",182446.460001283,437145.2105
"Papendrecht",107967.189204737,427585.487500001
"Peel en Maas",196235.517165449,371470.55215
"Pekela",260785.643119963,565551.7315
"Pijnacker-Nootdorp",89062.7205293788,447433.583000001
"Purmerend",122245.411441529,506147.442
"Putten",168083.727111513,473235.8805
"Raalte",217654.428732875,489175.682499999
"Reimerswaal",62333.9064785367,385003.568299999
"Renkum",182780.250210359,444873.499500001
"Renswoude",164852.672721052,453807.5865
"Reusel-De Mierden",138268.180115135,375785.373499999
"Rheden",201222.987041771,449422.6965
"Rhenen",166567.934408128,443627.572000001
"Ridderkerk",100277.334885108,431687.5085
"Rijssen-Holten",226860.087870064,477893.395
"Rijswijk (ZH.)",81957.4550634976,450407.257000001
"Roerdalen",200290.671432794,350913.7105
"Roermond",199057.497053357,357877.138500001
"Roosendaal",88226.0084957975,391709.623500001
"Rotterdam",93296.5197501701,437659.633300001
"Rozendaal",194506.74649026,450298.253
"Rucphen",98280.8356122324,392795.9035
"Schagen",111984.59432249,533553.496299999
"Scherpenzeel",163223.315742377,455793.7435
"Schiedam",86161.4909464523,438434.312999999
"Schiermonnikoog",207666.877083938,611670.2349
"Schouwen-Duiveland",56045.1907245555,411000.8934
"Simpelveld",197098.121448474,315839.011
"Sint-Michielsgestel",153484.009717197,406899.3825
"Sittard-Geleen",186625.475321215,335653.837000001
"Sliedrecht",112443.162830563,427110.593500001
"Sluis",24495.1333705199,372402.923999999
"Smallingerland",199413.844156797,570096.101499999
"Soest",148646.158569819,463245.351500001
"Someren",175996.194254638,377520.446999999
"Son en Breugel",162231.159617418,392101.7115
"Stadskanaal",263301.731059649,557841.203499999
"Staphorst",210551.878846757,516826.271499999
"Stede Broec",144094.908923335,523377.534500001
"Steenbergen",80331.2214746974,401844.816000002
"Steenwijkerland",197901.995861768,529241.8495
"Stein (L.)",181242.687616094,331611.484999999
"Stichtse Vecht",128176.641133526,468379.6305
"Súdwest-Fryslân",166847.233502322,557113.631899999
"Terneuzen",46976.0565852806,367171.727
"Terschelling",148474.313326891,601029.852700001
"Texel",116925.790298288,566599.339199999
"Teylingen",95176.1173171103,470271.658499999
"Tholen",67028.2659829086,398660.885499999
"Tiel",156782.086370453,433199.068499999
"Tilburg",132755.993507658,399680.423500001
"Tubbergen",249388.286627444,491522.1095
"Twenterand",239866.34961504,495344.274
"Tynaarlo",233491.485840944,570128.634499999
"Tytsjerksteradiel",194225.768309004,579954.6335
"Uitgeest",110893.556792979,504158.5965
"Uithoorn",114712.649327099,471927.3465
"Urk",170823.061161716,519246.980549999
"Utrecht",135228.413039014,455160.547
"Utrechtse Heuvelrug",155523.53473777,448923.402999999
"Vaals",196899.558868421,309969.364499999
"Valkenburg aan de Geul",185020.375257198,319084.5485
"Valkenswaard",159949.535563782,370113.422499999
"Veendam",254786.323538,567017.436999999
"Veenendaal",166298.250048939,448329.353500001
"Veere",24953.7062166288,394896.17
"Veldhoven",155386.422519003,379837.344500002
"Velsen",102968.405889499,496094.272500001
"Venlo",208058.364769778,378430.977
"Venray",194698.196040579,391172.431
"Vijfheerenlanden",131783.763267942,438015.424000001
"Vlaardingen",82215.9414322195,437665.372499999
"Vlieland",126133.102876961,585682.310699999
"Vlissingen",31023.8837157261,387141.25815
"Voerendaal",192082.203047478,320420.068000002
"Voorschoten",90197.4672726702,460131.2015
"Voorst",202734.179988095,472369.285
"Vught",144584.218626015,406954.1085
"Waadhoeke",169464.239007674,582813.01615
"Waalre",160494.865597251,377392.779999999
"Waalwijk",129421.759160205,411033.663000001
"Waddinxveen",103846.808147781,450946.082999999
"Wageningen",174317.05319994,442275.562999999
"Wassenaar",85932.4476158834,461879.25605
"Waterland",128595.758539154,496414.04975
"Weert",177198.204393604,360724.236500001
"West Betuwe",141698.506133412,431252.652000001
"West Maas en Waal",162658.754127604,429295.565499999
"Westerkwartier",219038.141960065,581231.213499999
"Westerveld",217292.622667894,538265.5375
"Westervoort",194939.751985421,441427.373
"Westerwolde",272673.238929037,558301.104500001
"Westland",73723.896192171,446379.760499999
"Weststellingwerf",196837.128689286,542960.374500001
"Wierden",233766.776104889,484596.369000001
"Wijchen",176294.562086698,425773.196
"Wijdemeren",134718.862524349,470884.881999999
"Wijk bij Duurstede",151026.588872452,444729.063999999
"Winterswijk",247816.614286989,443014.874499999
"Woensdrecht",81302.0456991214,380666.807500001
"Woerden",121285.836866236,458459.338
"Wormerland",119194.827063464,502131.214499999
"Woudenberg",156692.617234558,454674.581
"Zaanstad",113302.570904435,498078.593500001
"Zaltbommel",141378.013513993,421536.3575
"Zandvoort",97486.9921414767,485876.1326
"Zeewolde",158527.046567805,484410.564099999
"Zeist",145719.990271492,458530.4145
"Zevenaar",202499.490586321,437962.747
"Zoetermeer",93283.5611225676,453050.032
"Zoeterwoude",94590.1729041743,458779.7765
"Zuidplas",101838.407911623,445965.763
"Zundert",104081.827792689,388781.915000001
"Zutphen",213454.846245984,460431.083000001
"Zwartewaterland",199614.627390096,513839.67
"Zwijndrecht",101686.939471875,426482.154550001
"Zwolle",203228.763056884,503223.7105
